设备编号,设备名称,型号,厂商,位置,状态
DEV1011,ccc,M-100,sss,aaa,active
DEV1010,???????,AT-21,????,????-S01,maintenance
DEV1009,??????,EG-500,????,????-E01,inactive
DEV1008,???????,AC-900,????,????-G01,retired
DEV1007,????????,TH-16,????,????-R01,active
DEV1006,????????,LP-700,????,????-P02,active
DEV1005,??????,SC-88,????,????-W01,inactive
DEV1004,??????,VF-30K,????,????-L03,active
DEV1003,??????,VM-C220,????,????-QC01,maintenance
DEV1002,?????????,AX-410,?????,????-A02,active
DEV1001,?????????,AX-410,?????,????-A01,active
DB003,qwe,qwe,qwe,qwe,active
DB002,asd,asd,asd,asd,active
DB001,aaabbb,111,aaa,aaa,active
DA007,切削机,A004,,,active
DA006,切削机,A004,,,active
D005,Finance Printer,LaserJet Pro M404dn,HP,Hangzhou,retired
D006,Finance Printer,LaserJet Pro M405dn,HP,Hangzhou,retired
D007,Finance Printer,LaserJet Pro M406dn,HP,Hangzhou,retired
D008,Finance Printer,LaserJet Pro M407dn,HP,Hangzhou,retired
D009,Finance Printer,LaserJet Pro M408dn,HP,Hangzhou,retired
D010,Finance Printer,LaserJet Pro M409dn,HP,Hangzhou,retired
D011,Finance Printer,LaserJet Pro M410dn,HP,Hangzhou,retired
D012,Finance Printer,LaserJet Pro M411dn,HP,Hangzhou,retired
